ax,ay,az
-4320,-1544,-16176
-4248,-1516,-16152
-4244,-1524,-16068
-4336,-1488,-16192
-4236,-1560,-16120
-4280,-1544,-16168
-4320,-1620,-16116
-4324,-1592,-16080
-4268,-1528,-16280
-4316,-1584,-16096
-4256,-1564,-16220
-4304,-1596,-16052
-4300,-1548,-16132
-4244,-1544,-16156
-4332,-1564,-16168
-4272,-1540,-16276
-4252,-1564,-16216
-4276,-1580,-16172
-4352,-1616,-16124
-4304,-1496,-16200
-4300,-1576,-16096
-4320,-1564,-16240
-4320,-1556,-16208
-4324,-1536,-16148
-4324,-1500,-16200
-4296,-1528,-16112
-4292,-1540,-16248
-4312,-1576,-16008
-4216,-1504,-16212
-4264,-1560,-16156
-4340,-1548,-16136
-4272,-1536,-16132
-4304,-1512,-16148
-4308,-1564,-16084
-4332,-1544,-16108
-4212,-1544,-16160
-4308,-1600,-15988
-4260,-1532,-16192
-4300,-1576,-16080
-4260,-1488,-16136
-4308,-1560,-16264
-4340,-1540,-16080
-4280,-1552,-16252
-4344,-1540,-16124
-4304,-1600,-16220
-4356,-1536,-16068
-4264,-1500,-16100
-4272,-1492,-16188
-4296,-1592,-16128
-4284,-1540,-16156
-4276,-1544,-16072
-4276,-1592,-16164
-4324,-1524,-16148
-4232,-1520,-16116
-4312,-1552,-16088
-4292,-1520,-16204
-4292,-1580,-16120
-4296,-1568,-16132
-4260,-1548,-16136
-4312,-1500,-15992
-4312,-1520,-16132
-4280,-1500,-16180
-4288,-1516,-16180
-4308,-1564,-16096
-4296,-1552,-16232
-4264,-1556,-16128
-4280,-1572,-16036
-4276,-1524,-16204
-4308,-1600,-16088
-4288,-1544,-16172
-4308,-1588,-16168
-4392,-1528,-16048
-4284,-1556,-16164
-4256,-1608,-16128
-4300,-1548,-16084
-4308,-1492,-16252
-4248,-1556,-16156
-4276,-1620,-16156
-4384,-1572,-16048
-4324,-1540,-16256
-4320,-1584,-16068
-4292,-1568,-16156
-4220,-1592,-16092
-4304,-1556,-16096
-4280,-1572,-16280
-4272,-1540,-16176
-4280,-1584,-16008
-4324,-1580,-16184
-4272,-1508,-16080
-4324,-1512,-16188
-4284,-1580,-16188
-4352,-1492,-16212
-4312,-1528,-16264
-4304,-1584,-16272
-4304,-1584,-16100
-4276,-1472,-16148
-4288,-1488,-16268
-4312,-1548,-16196
-4292,-1520,-16280
-4256,-1544,-16200
-4316,-1548,-16076
-4336,-1516,-16132
-4252,-1524,-16172
-4288,-1548,-16024
-4252,-1484,-16128
-4240,-1496,-16096
-4356,-1572,-16300
-4296,-1524,-16092
-4292,-1516,-16072
-4300,-1468,-16132
-4300,-1512,-16248
-4264,-1492,-16084
-4268,-1524,-16208
-4304,-1544,-16184
-4196,-1520,-16176
-4300,-1516,-16128
-4348,-1584,-16052
-4284,-1536,-16168
-4272,-1488,-16084
-4288,-1540,-16116
-4300,-1524,-16280
-4276,-1524,-16092
-4336,-1556,-16084
-4248,-1528,-16196
-4320,-1556,-16236
-4396,-1596,-16208
-4312,-1488,-16192
-4288,-1560,-16144
-4232,-1536,-16052
-4336,-1560,-16044
-4324,-1532,-16228
-4296,-1476,-16180
-4232,-1556,-16076
-4280,-1528,-16176
-4300,-1588,-16120
-4260,-1580,-16140
-4336,-1596,-16088
-4324,-1584,-16240
-4360,-1564,-16112
-4208,-1616,-16132
-4280,-1552,-16204
-4328,-1524,-16080
-4312,-1596,-16156
