gx,gy,gz
-2451,4817,-139
-2461,4830,-176
-2423,4791,-150
-2414,4807,-159
-2468,4789,-139
-2412,4814,-161
-2402,4792,-170
-2445,4792,-171
-2396,4786,-170
-2451,4795,-153
-2410,4785,-172
-2432,4803,-165
-2415,4791,-161
-2419,4782,-163
-2424,4782,-172
-2454,4806,-180
-2452,4804,-162
-2412,4789,-170
-2433,4783,-149
-2424,4784,-178
-2426,4780,-144
-2410,4765,-193
-2471,4789,-150
-2453,4764,-181
-2433,4804,-158
-2420,4761,-145
-2402,4793,-147
-2446,4793,-159
-2453,4803,-162
-2445,4758,-138
-2410,4749,-163
-2444,4777,-172
-2407,4752,-167
-2428,4810,-147
-2417,4778,-135
-2440,4798,-176
-2441,4780,-137
-2405,4764,-187
-2446,4828,-146
-2443,4784,-170
-2439,4803,-182
-2428,4822,-182
-2460,4797,-175
-2418,4786,-153
-2424,4808,-186
-2430,4824,-168
-2388,4779,-210
-2424,4789,-150
-2460,4793,-157
-2477,4796,-142
-2437,4760,-111
-2457,4812,-168
-2398,4770,-142
-2434,4774,-155
-2429,4786,-162
-2428,4779,-151
-2432,4782,-157
-2396,4769,-181
-2453,4805,-202
-2426,4797,-158
-2440,4794,-195
-2432,4786,-172
-2444,4768,-190
-2451,4825,-163
-2421,4758,-176
-2449,4801,-147
-2399,4768,-150
-2429,4802,-146
-2456,4808,-141
-2463,4802,-191
-2413,4794,-176
-2428,4773,-183
-2448,4824,-176
-2425,4779,-162
-2433,4793,-179
-2396,4774,-171
-2438,4824,-173
-2408,4805,-191
-2410,4780,-144
-2441,4801,-118
-2421,4799,-194
-2434,4781,-133
-2407,4796,-166
-2399,4793,-166
-2445,4778,-182
-2420,4770,-158
-2437,4777,-146
-2440,4798,-145
-2418,4809,-147
-2452,4773,-164
-2433,4814,-140
-2416,4768,-163
-2429,4819,-171
-2400,4757,-164
-2442,4758,-178
-2440,4802,-166
-2389,4768,-151
-2454,4775,-149
-2436,4782,-181
-2415,4762,-138
-2446,4818,-174
-2417,4740,-183
-2426,4816,-171
-2414,4760,-175
-2459,4803,-151
-2411,4760,-153
-2453,4796,-142
-2421,4799,-178
-2424,4820,-155
-2437,4800,-163
-2434,4822,-187
-2400,4798,-164
-2439,4777,-166
-2444,4803,-168
-2418,4788,-214
-2422,4766,-156
-2418,4817,-183
-2444,4801,-184
-2415,4792,-146
-2409,4779,-148
-2442,4776,-132
-2424,4807,-169
-2445,4801,-162
-2434,4800,-154
-2424,4803,-175
-2425,4804,-175
-2423,4790,-193
-2408,4808,-144
-2421,4770,-144
-2403,4760,-158
-2452,4794,-186
-2443,4782,-138
-2427,4794,-159
-2426,4762,-164
-2426,4803,-156
-2422,4770,-169
-2434,4803,-140
-2417,4798,-171
-2407,4779,-138
-2405,4743,-155
-2442,4805,-155
-2425,4821,-175
-2451,4780,-163
-2441,4780,-193
-2441,4784,-151
-2446,4786,-165
-2429,4787,-185
-2460,4765,-164
-2431,4737,-147
-2441,4762,-109
-2450,4784,-160
-2431,4817,-157
-2447,4775,-184
-2402,4820,-166
-2418,4753,-149
-2411,4754,-158
-2430,4830,-161
-2413,4773,-166
-2439,4791,-188
-2392,4772,-153
-2448,4795,-172
-2421,4829,-148
-2402,4777,-168
-2418,4756,-169
-2440,4819,-171
-2438,4748,-171
-2402,4759,-172
-2428,4782,-187
-2434,4777,-166
-2414,4785,-180
-2421,4817,-145
-2423,4797,-151
-2412,4748,-179
-2434,4791,-153
-2397,4770,-147
-2421,4838,-146
-2435,4791,-150
-2424,4815,-158
-2431,4814,-152
